n,wskaźnik uwarunkowania dla zadania 1,wskaźnik uwarunkowania dla zadania 2
3,215.9999999999994,1.4444444444444444
4,2880.0000000004075,1.8333333333333341
5,28000.000000047658,2.233333333333334
6,226799.99999259738,2.6444444444444435
7,1629935.9973776676,3.0317460317460325
8,12862080.919548035,3.4484126984126986
9,112000171.55565262,3.849206349206351
10,884143809.3249512,4.24920634920635
11,6473791750.550781,4.659427609427611
12,44079388491.0,5.055218855218855
13,134767071777.0,5.465475265475266
14,245922411577.5,5.868897768897768
15,173330914155.0,6.268897768897764
16,108497234096.0,6.6784049284049285
17,304548539796.0,7.077617970265035
18,118749314327040.0,7.485025377672437
19,375039610264.0,7.889565164797368
20,400389258560.0,8.289565164797372
