n,Wektor spektralny,Czy spełniony warunek?
3,0.1609570165748383,True
4,0.23295210790159213,True
5,0.23358254568434567,True
6,0.23465787178421754,True
7,0.23525833668357551,True
8,0.2355472722570841,True
9,0.23603787268863016,True
10,0.2360969385278139,True
15,0.2369914909934049,True
20,0.2372192007878652,True
25,0.23751167656015856,True
30,0.23759091473320212,True
40,0.23777355385848836,True
50,0.23788151775388658,True
60,0.23795265528551268,True
70,0.23800300418273224,True
80,0.23804049371243274,True
90,0.23806948436469622,True
100,0.23809256901271988,True
150,0.23816124987364648,True
200,0.23819528838424092,True
250,0.2382156316044837,True
300,0.2382291682726331,True
400,0.2382460707151805,True
500,0.23825620843310238,True
